id_cliente,churn,genero,meses_contrato,tipo_contrato,forma_pagamento,fatura_online,servico_telefone,internet,seguranca_online,backup_online,protecao_dispositivo,suporte_tecnico,tv_streaming,filmes_streaming,gasto_mensal,total_gasto,contas_diarias
0019-GFNTW,0,female,56,two year,bank transfer (automatic),0,0,1,1,1,1,1,0,0,45.05,2560.0,1.5016666666666665
0020-INWCK,0,female,71,two year,credit card (automatic),1,1,1,0,1,1,0,0,1,95.75,6850.0,3.191666666666667
0020-JDNXP,0,female,34,one year,mailed check,0,0,1,1,0,1,1,1,1,61.25,1993.0,2.0416666666666665
0021-IKXGC,0,female,1,month-to-month,electronic check,1,1,1,0,0,0,0,0,0,72.1,72.1,2.4033333333333333
0022-TCJCI,1,male,45,one year,credit card (automatic),0,1,1,1,0,1,0,0,1,62.7,2792.0,2.0900000000000003
0023-HGHWL,1,male,1,month-to-month,electronic check,1,0,1,0,0,0,0,0,0,25.1,25.1,0.8366666666666667
0023-UYUPN,0,female,50,one year,electronic check,0,1,0,0,0,0,0,0,0,25.2,1306.0,0.84
0023-XUOPT,1,female,13,month-to-month,electronic check,0,1,1,0,1,1,0,1,0,94.1,1216.0,3.1366666666666663
0027-KWYKW,0,female,23,month-to-month,electronic check,1,1,1,0,0,0,0,1,0,83.75,1850.0,2.7916666666666665
0030-FNXPP,0,female,3,month-to-month,mailed check,0,1,0,0,0,0,0,0,0,19.85,57.2,0.6616666666666667
0031-PVLZI,1,female,4,month-to-month,mailed check,0,1,0,0,0,0,0,0,0,20.35,76.4,0.6783333333333333
0032-PGELS,1,female,1,month-to-month,bank transfer (automatic),0,0,1,1,0,0,0,0,0,30.5,30.5,1.0166666666666666
0036-IHMOT,0,female,55,one year,bank transfer (automatic),1,1,1,0,1,1,1,1,1,103.7,5656.0,3.4566666666666666
0040-HALCW,0,male,54,two year,credit card (automatic),0,1,0,0,0,0,0,0,0,20.4,1091.0,0.6799999999999999
0042-JVWOJ,0,male,26,one year,bank transfer (automatic),1,1,0,0,0,0,0,0,0,19.6,471.8,0.6533333333333334
0042-RLHYP,0,female,69,two year,bank transfer (automatic),0,1,0,0,0,0,0,0,0,19.7,1397.0,0.6566666666666666
0047-ZHDTW,0,female,11,month-to-month,bank transfer (automatic),1,1,1,1,0,0,0,0,0,79.0,929.5,2.6333333333333333
0048-LUMLS,0,male,37,one year,credit card (automatic),0,1,1,0,0,0,0,1,1,91.2,3248.0,3.04
0048-PIHNL,0,female,49,one year,bank transfer (automatic),0,1,0,0,0,0,0,0,0,20.45,901.0,0.6816666666666666
0052-DCKON,0,male,66,one year,bank transfer (automatic),0,1,1,1,1,1,1,1,1,115.8,7944.0,3.86
0052-YNYOT,0,female,67,one year,electronic check,0,1,0,0,0,0,0,0,0,20.55,1343.0,0.685
0056-EPFBG,0,male,20,two year,credit card (automatic),1,0,1,1,0,1,1,0,0,39.4,825.5,1.3133333333333332
0057-QBUQH,0,female,43,two year,electronic check,1,1,0,0,0,0,0,0,0,25.1,1070.0,0.8366666666666667
0058-EVZWM,0,female,55,month-to-month,bank transfer (automatic),1,1,1,1,0,0,0,1,0,89.8,4960.0,2.993333333333333
0060-FUALY,0,female,59,month-to-month,electronic check,1,1,1,1,1,0,0,1,0,94.75,5596.0,3.158333333333333
0064-SUDOG,0,female,12,two year,bank transfer (automatic),0,1,0,0,0,0,0,0,0,20.3,224.5,0.6766666666666666
0064-YIJGF,0,male,27,month-to-month,bank transfer (automatic),1,1,1,0,0,0,0,0,0,75.75,1929.0,2.525
0067-DKWBL,1,male,2,month-to-month,electronic check,1,1,1,1,0,0,0,0,0,49.25,91.1,1.6416666666666666
0068-FIGTF,0,female,27,one year,mailed check,0,1,1,0,1,1,1,1,1,78.2,2078.0,2.606666666666667
0071-NDAFP,0,male,25,two year,credit card (automatic),0,1,0,0,0,0,0,0,0,25.5,630.5,0.85
0074-HDKDG,0,male,25,one year,bank transfer (automatic),1,1,1,1,1,1,0,0,0,61.6,1611.0,2.0533333333333332
0076-LVEPS,0,male,29,month-to-month,mailed check,1,0,1,1,1,1,1,0,0,45.0,1242.0,1.5
0078-XZMHT,0,male,72,two year,bank transfer (automatic),1,1,1,0,1,1,1,1,1,85.15,6316.0,2.8383333333333334
0080-EMYVY,0,female,14,one year,credit card (automatic),0,1,1,0,1,0,0,0,0,51.45,728.0,1.715
0080-OROZO,0,female,35,one year,electronic check,1,1,1,0,0,1,1,1,1,99.25,3532.0,3.308333333333333
0082-LDZUE,0,male,1,month-to-month,mailed check,1,1,1,0,0,0,0,0,0,44.3,44.3,1.4766666666666666
0082-OQIQY,0,male,29,month-to-month,electronic check,1,1,1,0,0,0,1,1,1,94.2,2608.0,3.14
0083-PIVIK,0,male,64,one year,electronic check,0,1,1,1,1,1,1,1,0,81.25,5570.0,2.7083333333333335
0089-IIQKO,0,female,39,month-to-month,credit card (automatic),1,1,1,0,0,0,1,1,1,99.95,3768.0,3.3316666666666666
0093-EXYQL,0,female,40,month-to-month,electronic check,1,1,1,0,0,0,0,1,1,91.55,3674.0,3.0516666666666667
0093-XWZFY,1,male,40,month-to-month,credit card (automatic),1,1,1,0,1,1,0,1,1,104.5,4036.0,3.4833333333333334
0094-OIFMO,1,female,11,month-to-month,electronic check,1,1,1,0,1,0,0,1,1,95.0,1120.0,3.1666666666666665
0096-BXERS,0,female,6,month-to-month,electronic check,0,1,1,0,0,0,0,0,0,50.35,314.5,1.6783333333333335
0096-FCPUF,0,male,30,month-to-month,mailed check,1,1,1,1,0,0,0,0,1,64.5,1888.0,2.15
0098-BOWSO,0,male,27,month-to-month,electronic check,1,1,0,0,0,0,0,0,0,19.4,530.0,0.6466666666666666
0100-DUVFC,0,male,70,one year,electronic check,1,1,1,0,1,1,0,1,1,104.8,7308.0,3.493333333333333
0103-CSITQ,0,female,57,one year,bank transfer (automatic),1,1,1,0,1,1,1,1,1,109.4,6252.0,3.646666666666667
0104-PPXDV,0,male,58,one year,credit card (automatic),0,1,1,0,0,1,0,0,0,50.3,2878.0,1.6766666666666665
0106-GHRQR,0,male,16,month-to-month,bank transfer (automatic),1,1,1,0,1,1,0,0,1,71.4,1212.0,2.3800000000000003
0106-UGRDO,0,female,69,two year,electronic check,1,1,1,1,1,1,1,1,1,116.0,8184.0,3.8666666666666667
0107-WESLM,1,male,1,month-to-month,electronic check,1,1,0,0,0,0,0,0,0,19.85,19.84,0.6616666666666667
0107-YHINA,1,male,1,month-to-month,electronic check,1,1,1,0,0,1,0,1,1,99.75,99.75,3.325
0111-KLBQG,0,male,32,month-to-month,mailed check,1,1,1,0,1,0,0,1,1,93.95,2862.0,3.131666666666667
0112-QAWRZ,0,male,16,month-to-month,bank transfer (automatic),1,1,1,0,0,1,0,1,0,90.8,1442.0,3.0266666666666664
0112-QWPNC,1,male,49,one year,electronic check,0,1,1,1,0,1,1,1,1,84.35,4060.0,2.8116666666666665
0114-IGABW,0,female,71,two year,bank transfer (automatic),0,0,1,0,1,1,1,1,1,58.25,4144.0,1.9416666666666667
0114-PEGZZ,0,female,33,month-to-month,electronic check,0,1,1,0,1,1,0,1,1,107.55,3646.0,3.585
0114-RSRRW,0,female,10,month-to-month,bank transfer (automatic),1,1,0,0,0,0,0,0,0,19.95,187.8,0.6649999999999999
0115-TFERT,1,male,21,month-to-month,electronic check,1,1,1,0,1,1,1,1,1,111.2,2318.0,3.7066666666666666
0117-LFRMW,1,male,37,month-to-month,bank transfer (automatic),0,0,1,1,1,1,0,0,0,40.2,1449.0,1.34
0118-JPNOY,0,female,26,month-to-month,credit card (automatic),1,1,1,1,0,0,0,1,0,85.8,2194.0,2.86
0120-YZLQA,0,male,71,two year,credit card (automatic),1,1,0,0,0,0,0,0,0,19.9,1355.0,0.6633333333333333
0121-SNYRK,0,male,50,one year,mailed check,1,0,1,1,0,0,1,0,0,35.4,1749.0,1.18
0122-OAHPZ,1,female,7,month-to-month,electronic check,1,1,1,0,0,0,0,0,0,73.85,511.2,2.4616666666666664
0123-CRBRT,0,female,61,two year,mailed check,0,1,1,1,1,1,1,1,1,88.1,5530.0,2.9366666666666665
0125-LZQXK,1,male,15,month-to-month,electronic check,1,1,1,0,0,1,1,1,1,101.35,1554.0,3.378333333333333
0128-MKWSG,0,female,26,month-to-month,mailed check,0,0,1,1,0,0,1,0,1,45.8,1147.0,1.5266666666666666
0129-KPTWJ,0,male,72,month-to-month,electronic check,1,1,1,0,0,1,0,1,1,94.65,6748.0,3.1550000000000002
0129-QMPDR,0,male,44,one year,bank transfer (automatic),1,1,0,0,0,0,0,0,0,20.5,865.0,0.6833333333333333
0130-SXOUN,0,male,66,month-to-month,credit card (automatic),0,1,1,0,1,0,0,0,1,89.4,5976.0,2.98
0133-BMFZO,1,female,2,month-to-month,electronic check,1,1,1,1,1,0,1,0,0,86.25,181.6,2.875
0134-XWXCE,0,female,44,one year,bank transfer (automatic),0,1,1,0,0,1,1,1,1,74.85,3268.0,2.4949999999999997
0135-NMXAP,1,female,12,month-to-month,bank transfer (automatic),1,1,1,0,1,0,0,1,0,89.75,1052.0,2.9916666666666667
0136-IFMYD,0,male,69,two year,electronic check,1,1,1,0,1,1,1,1,1,109.95,7636.0,3.665
0137-OCGAB,1,female,1,month-to-month,mailed check,1,1,1,0,1,0,0,0,0,80.2,80.2,2.6733333333333333
0137-UDEUO,1,female,3,month-to-month,mailed check,0,1,0,0,0,0,0,0,0,19.85,63.75,0.6616666666666667
0139-IVFJG,0,female,2,month-to-month,electronic check,0,1,1,1,1,0,0,1,0,90.35,190.5,3.0116666666666663
0141-YEAYS,0,female,27,month-to-month,bank transfer (automatic),1,1,1,0,1,1,0,0,0,86.45,2402.0,2.881666666666667
0142-GVYSN,0,male,26,month-to-month,electronic check,1,1,0,0,0,0,0,0,0,20.3,511.2,0.6766666666666666
0147-ESWWR,0,female,39,month-to-month,electronic check,1,1,1,0,0,0,1,1,1,101.25,3950.0,3.375
0148-DCDOS,1,male,25,month-to-month,bank transfer (automatic),1,1,1,0,0,0,0,1,1,94.7,2362.0,3.1566666666666667
0151-ONTOV,1,female,1,month-to-month,mailed check,0,1,1,0,0,0,0,0,0,70.9,70.9,2.3633333333333337
0154-QYHJU,0,male,29,one year,electronic check,1,1,1,1,1,0,1,0,0,58.75,1696.0,1.9583333333333333
0156-FVPTA,1,male,22,month-to-month,electronic check,1,1,1,1,0,0,1,0,0,54.2,1153.0,1.8066666666666669
0162-RZGMZ,0,female,5,month-to-month,credit card (automatic),0,1,1,1,1,0,1,0,0,59.9,287.8,1.9966666666666666
0164-APGRB,0,female,72,two year,electronic check,1,1,1,1,1,1,1,1,1,114.9,8500.0,3.83
0164-XAIRP,0,female,24,two year,bank transfer (automatic),1,1,0,0,0,0,0,0,0,19.55,470.2,0.6516666666666667
0168-XZKBB,0,female,19,month-to-month,electronic check,1,1,1,0,0,0,0,1,0,86.85,1564.0,2.895
0174-QRVVY,0,male,71,two year,credit card (automatic),0,1,0,0,0,0,0,0,0,25.35,1848.0,0.8450000000000001
0177-PXBAT,0,male,33,month-to-month,bank transfer (automatic),1,1,1,1,0,1,1,1,1,109.9,3694.0,3.6633333333333336
0178-CIIKR,0,female,3,month-to-month,mailed check,0,1,0,0,0,0,0,0,0,19.95,58.0,0.6649999999999999
0178-SZBHO,0,male,47,month-to-month,electronic check,0,1,1,0,1,0,0,1,0,87.2,4018.0,2.9066666666666667
0181-RITDD,0,male,62,two year,mailed check,0,1,1,1,1,1,1,1,1,108.15,6824.0,3.605
0186-CAERR,0,male,71,one year,bank transfer (automatic),1,1,1,1,1,1,1,1,1,116.3,8310.0,3.8766666666666665
0187-QSXOE,0,male,7,month-to-month,electronic check,1,1,1,0,0,0,0,1,1,89.0,605.5,2.966666666666667
0187-WZNAB,0,female,27,month-to-month,mailed check,0,1,1,1,0,0,0,0,0,74.4,1972.0,2.48
0188-GWFLE,0,male,2,month-to-month,mailed check,0,1,0,0,0,0,0,0,0,20.05,33.7,0.6683333333333333
0191-EQUUH,0,female,25,two year,bank transfer (automatic),0,0,1,1,0,0,1,0,0,35.05,844.5,1.1683333333333332
0191-ZHSKZ,0,male,30,month-to-month,electronic check,1,1,1,1,1,0,0,1,1,74.75,2112.0,2.4916666666666667
0193-ESZXP,1,female,58,one year,credit card (automatic),1,1,1,1,1,0,1,1,1,105.5,6204.0,3.5166666666666666
0195-IESCP,1,male,10,month-to-month,electronic check,1,1,1,0,0,0,0,0,1,85.25,855.5,2.841666666666667
0196-JTUQI,0,female,9,month-to-month,credit card (automatic),1,1,1,0,0,0,0,0,0,75.2,634.0,2.506666666666667
0196-VULGZ,1,female,6,month-to-month,electronic check,1,1,1,0,0,0,0,0,1,84.35,475.0,2.8116666666666665
0197-PNKNK,0,female,69,one year,bank transfer (automatic),0,1,1,1,0,1,0,0,0,84.45,5850.0,2.815
0201-MIBOL,0,female,66,two year,bank transfer (automatic),1,1,1,1,0,0,0,1,1,102.4,6470.0,3.4133333333333336
0201-OAMXR,1,female,70,one year,credit card (automatic),0,1,1,1,1,1,1,1,1,115.55,8130.0,3.8516666666666666
0203-HHYIJ,1,male,25,one year,bank transfer (automatic),0,1,0,0,0,0,0,0,0,25.3,676.5,0.8433333333333334
0206-OYVOC,0,female,46,two year,mailed check,1,1,0,0,0,0,0,0,0,19.25,864.0,0.6416666666666667
0206-TBWLC,0,female,54,one year,mailed check,1,1,1,1,1,1,1,1,1,114.65,6050.0,3.8216666666666668
0207-MDKNV,1,female,15,month-to-month,electronic check,0,1,1,1,0,1,1,1,1,105.1,1583.0,3.503333333333333
0208-BPQEJ,0,female,12,month-to-month,bank transfer (automatic),0,1,0,0,0,0,0,0,0,19.4,198.1,0.6466666666666666
0212-ISBBF,0,female,22,month-to-month,electronic check,1,0,1,0,1,0,0,1,1,50.35,1099.0,1.6783333333333335
0214-JHPFW,0,female,70,two year,bank transfer (automatic),0,0,1,0,1,1,1,1,1,57.8,4040.0,1.9266666666666665
0215-BQKGS,0,male,30,month-to-month,credit card (automatic),1,1,1,1,1,1,0,0,0,84.3,2438.0,2.81
0218-QNVAS,0,male,71,one year,bank transfer (automatic),0,1,1,0,1,0,0,1,1,100.55,7110.0,3.3516666666666666
0219-QAERP,0,male,30,one year,credit card (automatic),0,1,0,0,0,0,0,0,0,19.8,576.5,0.66
0219-YTZUE,1,male,4,month-to-month,bank transfer (automatic),1,1,1,0,1,1,0,0,0,84.8,372.0,2.8266666666666667
0220-EBGCE,1,male,2,month-to-month,electronic check,1,1,1,0,0,1,0,0,1,85.85,167.2,2.8616666666666664
0221-NAUXK,0,male,10,one year,bank transfer (automatic),1,1,0,0,0,0,0,0,0,19.95,219.5,0.6649999999999999
0221-WMXNQ,0,male,4,month-to-month,electronic check,0,1,1,1,0,0,0,0,0,75.35,273.5,2.5116666666666663
0222-CNVPT,0,male,52,month-to-month,credit card (automatic),1,0,1,1,0,0,0,1,1,48.8,2556.0,1.6266666666666665
0224-HJAPT,1,male,5,month-to-month,electronic check,0,1,1,0,0,0,0,0,0,47.15,223.1,1.5716666666666665
0224-NIJLP,0,male,8,two year,mailed check,0,1,0,0,0,0,0,0,0,20.15,165.5,0.6716666666666666
0224-RLWWD,0,female,2,month-to-month,electronic check,1,1,1,0,0,0,0,0,0,44.3,89.3,1.4766666666666666
0225-ZORZP,0,male,3,month-to-month,electronic check,0,1,1,0,1,0,0,0,1,84.3,235.0,2.81
0228-MAUWC,0,male,19,month-to-month,electronic check,0,1,1,0,0,1,1,0,0,59.55,1145.0,1.9849999999999999
0229-LFJAF,0,male,72,two year,bank transfer (automatic),0,1,1,1,1,1,1,0,0,69.65,4908.0,2.3216666666666668
0230-UBYPQ,0,male,63,one year,bank transfer (automatic),0,0,1,1,0,0,1,0,0,36.1,2298.0,1.2033333333333334
0230-WEQUW,0,male,66,two year,bank transfer (automatic),1,0,1,1,1,1,1,1,0,56.6,3790.0,1.8866666666666667
0231-LXVAP,1,male,1,month-to-month,electronic check,1,1,1,0,0,0,1,0,0,75.9,75.9,2.5300000000000002
0233-FTHAV,0,female,60,one year,bank transfer (automatic),1,1,1,0,0,1,0,0,0,79.2,4764.0,2.64
0234-TEVTT,0,female,48,one year,credit card (automatic),0,0,1,1,0,1,0,0,1,45.0,2196.0,1.5
0235-KGSLC,1,female,1,month-to-month,credit card (automatic),1,1,1,0,0,1,0,1,0,85.55,85.56,2.8516666666666666
0236-HFWSV,1,male,15,month-to-month,electronic check,1,1,1,0,0,0,0,1,1,93.35,1445.0,3.1116666666666664
0237-YFUTL,0,female,50,month-to-month,bank transfer (automatic),1,1,1,1,1,0,1,1,1,109.65,5404.0,3.6550000000000002
0238-WHBIQ,0,male,72,two year,credit card (automatic),0,1,1,1,1,1,1,1,1,89.7,6340.0,2.99
0239-OXEXL,0,female,46,month-to-month,mailed check,0,1,1,1,1,0,0,0,0,84.25,3848.0,2.808333333333333
0244-LGNFY,0,female,72,two year,bank transfer (automatic),0,1,1,1,1,1,1,1,1,92.65,6732.0,3.0883333333333334
0247-SLUJI,0,male,1,month-to-month,mailed check,0,1,0,0,0,0,0,0,0,19.7,19.7,0.6566666666666666
0248-IPDFW,0,female,1,month-to-month,electronic check,1,1,1,0,0,0,0,0,0,50.1,50.1,1.6700000000000002
0248-PGHBZ,0,female,67,two year,bank transfer (automatic),1,1,1,1,1,0,1,1,0,92.45,6140.0,3.0816666666666666
0253-ZTEOB,0,female,48,two year,electronic check,0,1,1,0,1,0,1,1,1,79.65,3870.0,2.6550000000000002
0254-FNMCI,0,female,72,two year,electronic check,1,1,1,1,1,1,1,1,1,109.9,7624.0,3.6633333333333336
0254-KCJGT,0,male,52,one year,credit card (automatic),1,1,1,1,1,1,1,0,1,81.4,4356.0,2.7133333333333334
0254-WWRKD,0,female,67,one year,credit card (automatic),0,1,1,0,1,0,0,0,0,50.55,3432.0,1.6849999999999998
0256-LTHVJ,1,female,28,month-to-month,electronic check,1,1,1,0,0,0,0,0,1,81.05,2228.0,2.7016666666666667
0257-KXZGU,0,female,32,month-to-month,bank transfer (automatic),0,1,1,0,1,1,0,0,0,62.45,2046.0,2.0816666666666666
0257-ZESQC,1,female,27,month-to-month,bank transfer (automatic),1,1,1,1,0,0,0,0,0,75.2,1929.0,2.506666666666667
0258-NOKBL,0,male,3,month-to-month,electronic check,0,1,1,0,1,1,0,0,1,90.4,268.5,3.0133333333333336
0259-GBZSH,1,male,2,month-to-month,electronic check,1,1,1,0,0,0,0,1,0,85.65,181.5,2.855
0260-ZDLGK,1,female,9,month-to-month,mailed check,1,1,1,0,0,1,1,1,1,72.9,651.5,2.43
0263-FJTQO,0,male,50,two year,credit card (automatic),1,1,1,1,0,0,1,1,0,70.5,3486.0,2.35
0264-CNITK,0,female,71,two year,bank transfer (automatic),0,1,0,0,0,0,0,0,0,20.1,1390.0,0.67
0265-EDXBD,1,male,32,month-to-month,electronic check,1,1,1,0,0,0,0,0,0,74.9,2304.0,2.496666666666667
0265-PSUAE,0,female,16,month-to-month,bank transfer (automatic),0,1,1,1,0,1,0,1,1,100.7,1523.0,3.356666666666667
0266-CLZKZ,0,female,67,two year,bank transfer (automatic),1,1,1,0,0,1,1,1,1,105.65,6716.0,3.521666666666667
0266-GMEAO,0,male,72,two year,credit card (automatic),1,1,1,1,1,1,1,1,1,114.3,8060.0,3.81
0268-QKIWO,1,female,3,month-to-month,electronic check,0,1,0,0,0,0,0,0,0,19.75,58.84,0.6583333333333333
0269-XFESX,0,male,23,one year,mailed check,0,1,0,0,0,0,0,0,0,24.35,538.5,0.8116666666666668
0270-THENM,0,male,72,two year,bank transfer (automatic),0,1,1,1,1,1,1,0,0,69.85,5104.0,2.328333333333333
0274-JKUJR,0,male,7,month-to-month,mailed check,0,0,1,1,1,1,0,1,1,58.85,465.8,1.9616666666666667
0274-VVQOQ,0,male,65,one year,bank transfer (automatic),1,1,1,0,1,1,0,1,1,103.15,6790.0,3.4383333333333335
0277-BKSQP,0,male,8,month-to-month,electronic check,1,1,1,0,0,0,0,1,0,54.4,475.0,1.8133333333333332
0277-ORXQS,0,male,66,two year,bank transfer (automatic),0,0,1,0,0,0,1,1,1,50.55,3364.0,1.6849999999999998
0278-YXOOG,1,male,5,month-to-month,mailed check,0,1,0,0,0,0,0,0,0,21.05,113.9,0.7016666666666667
0280-XJGEX,1,male,49,month-to-month,bank transfer (automatic),1,1,1,0,1,1,0,1,1,103.7,5036.0,3.4566666666666666
0281-CNTZX,0,male,63,two year,bank transfer (automatic),1,1,0,0,0,0,0,0,0,19.95,1235.0,0.6649999999999999
0282-NVSJS,0,female,12,month-to-month,mailed check,1,0,1,0,0,0,1,0,0,29.3,356.0,0.9766666666666667
0285-INHLN,0,male,27,month-to-month,credit card (automatic),1,1,1,1,1,0,0,0,0,54.75,1510.0,1.825
0289-IVARM,0,female,35,month-to-month,electronic check,0,1,1,1,1,1,0,0,0,60.55,1983.0,2.018333333333333
0292-WEGCH,0,female,54,month-to-month,electronic check,1,1,1,0,1,1,1,1,1,86.2,4524.0,2.8733333333333335
0295-PPHDO,1,male,1,month-to-month,electronic check,1,1,1,0,0,0,0,1,1,95.45,95.44,3.1816666666666666
0295-QVKPB,0,male,5,month-to-month,credit card (automatic),1,1,1,0,0,1,1,1,0,63.95,318.0,2.131666666666667
0297-RBCSG,0,male,19,one year,bank transfer (automatic),1,1,1,0,1,0,1,0,1,65.35,1232.0,2.1783333333333332
0298-XACET,0,male,52,two year,mailed check,0,0,1,0,1,1,1,1,0,50.2,2554.0,1.6733333333333333
0301-FIDRB,0,female,72,two year,bank transfer (automatic),1,0,1,1,1,1,1,1,1,63.8,4684.0,2.1266666666666665
0301-KOBTQ,0,male,32,two year,bank transfer (automatic),1,1,0,0,0,0,0,0,0,20.05,614.5,0.6683333333333333
0302-JOIVN,1,female,8,month-to-month,electronic check,0,1,1,0,1,1,0,1,1,101.15,843.0,3.371666666666667
0303-UNCIP,0,male,41,one year,mailed check,0,1,1,0,0,1,0,0,1,65.0,2532.0,2.1666666666666665
0303-WMMRN,0,male,5,month-to-month,mailed check,1,1,0,0,0,0,0,0,0,19.25,86.06,0.6416666666666667
0305-SQECB,0,female,11,one year,mailed check,1,0,1,1,0,0,1,0,0,36.05,402.5,1.2016666666666667
0306-JAELE,1,male,5,month-to-month,electronic check,1,1,1,0,0,0,1,1,1,96.1,453.5,3.203333333333333
0307-BCOPK,0,female,16,one year,mailed check,0,1,0,0,0,0,0,0,0,19.05,326.8,0.635
0308-GIQJT,0,male,71,one year,bank transfer (automatic),0,1,1,0,1,0,1,1,1,105.75,7384.0,3.525
0308-IVGOK,0,female,11,one year,credit card (automatic),1,0,1,0,1,1,1,0,0,40.4,422.5,1.3466666666666667
0310-MVLET,1,female,61,month-to-month,electronic check,1,1,1,0,1,0,0,1,1,99.15,6012.0,3.305
0310-SUCIN,0,female,71,one year,bank transfer (automatic),1,1,1,1,1,1,1,1,1,84.8,6050.0,2.8266666666666667
0310-VQXAM,0,male,9,month-to-month,mailed check,0,1,0,0,0,0,0,0,0,19.85,178.8,0.6616666666666667
0311-QYWSS,0,female,6,month-to-month,electronic check,1,1,1,1,0,0,0,0,0,49.45,314.5,1.6483333333333334
0311-UNPFF,1,female,26,month-to-month,bank transfer (automatic),1,1,1,0,0,0,0,1,1,88.8,2274.0,2.96
0314-TKOSI,0,female,6,month-to-month,mailed check,0,1,1,1,1,0,0,0,0,55.15,323.0,1.8383333333333334
0315-LVCRK,0,male,11,month-to-month,electronic check,0,1,1,0,0,1,0,0,1,84.8,889.0,2.8266666666666667
0318-QUUOB,1,male,1,month-to-month,electronic check,1,1,1,0,0,0,0,1,0,80.55,80.56,2.685
0318-ZOPWS,0,female,49,two year,bank transfer (automatic),1,1,0,0,0,0,0,0,0,20.15,973.5,0.6716666666666666
0319-QZTCO,0,female,3,month-to-month,credit card (automatic),1,1,1,0,1,0,0,1,0,58.7,168.6,1.9566666666666668
0320-DWVTU,0,female,53,two year,mailed check,0,1,1,1,1,1,1,0,1,99.5,5424.0,3.316666666666667
0320-JDNQG,1,male,23,month-to-month,electronic check,1,1,1,1,0,0,1,1,1,99.85,2332.0,3.328333333333333
0322-CHQRU,1,male,2,month-to-month,electronic check,0,1,1,0,0,0,0,0,0,45.35,89.5,1.5116666666666667
0322-YINQP,1,male,1,month-to-month,mailed check,1,1,1,1,0,0,0,0,0,48.55,48.56,1.6183333333333332
0323-XWWTN,0,male,3,two year,mailed check,1,1,0,0,0,0,0,0,0,26.4,121.25,0.88
0324-BRPCJ,1,female,68,month-to-month,electronic check,1,1,1,0,1,0,0,1,1,100.2,6852.0,3.3400000000000003
0325-XBFAC,1,male,8,month-to-month,electronic check,1,1,1,0,0,1,0,1,1,94.7,740.5,3.1566666666666667
0326-VDYXE,0,female,70,one year,electronic check,1,1,1,0,0,1,0,1,1,97.65,6984.0,3.2550000000000003
0327-WFZSY,0,male,39,one year,electronic check,0,1,1,0,0,1,0,1,1,100.0,3836.0,3.3333333333333335
0328-GRPMV,1,female,1,month-to-month,electronic check,1,1,1,0,0,0,0,0,0,70.1,70.1,2.3366666666666664
0328-IBUPK,0,female,51,two year,bank transfer (automatic),0,0,1,1,0,0,1,0,0,34.2,1782.0,1.1400000000000001
0329-GTIAJ,1,female,3,month-to-month,electronic check,1,1,1,0,1,0,1,1,1,97.9,315.2,3.2633333333333336
0330-BGYZE,0,male,60,one year,bank transfer (automatic),0,1,1,0,1,1,0,1,1,102.5,6156.0,3.4166666666666665
0330-IVZHA,1,female,5,month-to-month,electronic check,0,1,1,0,0,0,0,0,0,69.95,330.2,2.3316666666666666
0334-GDDSO,1,male,3,month-to-month,electronic check,1,1,1,0,1,0,0,0,0,81.35,233.8,2.7116666666666664
0334-ZFJSR,0,female,55,one year,credit card (automatic),1,1,1,1,1,0,1,0,0,66.05,3462.0,2.2016666666666667
